text,score,score1,score2,score3,score4,score5
"Плохо не то, что на 30 лет твоя бабушка дарит тебе 1000 рублей. Хуже то, что ты на них реально рассчитываешь.",2.6,2,3,2,4,2
Книги Дарьи Донцовой рекомендованы Министерством образования для отапливания сельских школ.,2.6,2,5,1,2,3
"Я — единственный на свете человек, которого мне бы хотелось узнать получше.",2.6,4,2,2,1,4
"Ничто так не помогает карабкаться вверх, как боязнь высоты.",2.6,2,3,2,1,5
"Я уже начал готовиться к пляжному сезону. Каждый день понемногу растягиваю плавки, чтобы летом они на меня налезли.",2.6,2,4,4,2,1
Личные наблюдения. Самые оптимистичные люди на свете - пытающиеся перебежать МКАД.,2.6,3,3,5,1,1
Мой попугай пользуется абсолютной свободой слова. В любое время суток он имеет право говорить абсолютно всё... чему я его научил.,2.6,2,4,2,2,3
"Новая бритва для ног брила так гладко, что с Марины постоянно сползали колготки.",2.6,1,1,2,4,5
Мы все учились понемногу… чиму не буть и как не буть!,2.6,1,2,5,1,4
"- Абрам, ты знаешь, что такое Судьба? - Знаю. Это когда ты идешь по улице, а тебе прямо на голову падает кирпич. - А если он упадет рядом? - Значит, не судьба...",2.6,2,4,1,4,2
"Никак не могу привыкнуть, что 2005-й был 10 лет назад.",2.6,3,5,3,1,1
"- Папа, кризис - это когда денег нет? - Нет, сынок! Кризис - это когда деньги были. А когда денег нет - это обычная жизнь.",2.6,4,2,1,5,1
"По результатам соцопросов 90% людей считают свой ум выше среднего. Следовательно, среднестатистический гражданин считает себя умнее среднестатистического гражданина.",2.6,2,2,4,4,1
"Не многие знают, что в советские времена в Питере (тогда - Ленинграде) магазинную курицу называли не Синяя Птица, а Синекура.",2.6,1,1,4,5,2
"Столько работы, заявление на увольнение некогда написать!",2.6,2,5,1,4,1
"По аналогии с шахматами, если марафонцы показали одинаковый результат, то чемпион по марафону теперь определяется на стометровке.",2.6,4,4,2,2,1
"Маркетологи утверждают, что красивые картонки лучше всего продаются, если в них положить какие-либо продукты.",2.6,2,1,1,5,4
"Промышленные шпионы долго пытали Карлсона, чтобы выяснить, что за катализатор в цилиндрах его двигателя заставляет гореть варенье. Но тот молчал как партизан. Потому что и сам не знал. Мораль: нечего заказывать разработку наукоёмких изделий на стороне!",2.6,1,2,1,5,4
"Вчера видел в супермаркете мужика, потерявшего составленный женой список продуктов, которые надо купить, и забывшего дома мобильник. Вид у него был как у малыша, потерявшего маму на многолюдном вокзале.",2.6,2,3,4,3,1
"Жили у бабуси два веселых гуся, откормила, зарубила, продала и в плюсе.",2.6,2,3,4,3,1
"Безработный мужчина, который живет в однокомнатной с мамой, папой, бабушкой, дедушкой, братом и дядей принципиально не смотрит программу Жить здорово",2.6,1,4,5,1,2
"Все подорожало, проезд, бензин, квартплата, еда...Хорошо хоть зарплату не подняли.",2.6,4,3,1,1,4
"Каждый интеллигентный человек, должен всегда задаваться вопросом: кто я? почему я такой дерзкий? с какого я района?",2.6,1,4,3,2,3
Тело храм души только в молодости. В старости это скорее СИЗО.,2.6,5,3,3,1,1
"Матч Голландия - Франция показал, что европейские команды по-прежнему сильнее африканских.",2.6,4,2,3,3,1
"Люди, которые водят хороводы - хороводоводы. А люди, которые изучают творчество хороводоводов - хороводоводоведы.",2.6,1,4,2,4,2
Одиночество - это когда ночью вас любят только комары.,2.6,3,1,3,2,4
И кто придумал давать за вредность молоко? Некоторым за вредность нужно давать молоко с селедкой!,2.6,1,3,4,3,2
"Любимая поговорка каннибалов: какими бы разными не были люди, котлеты из них выходят одинаковые.",2.6,1,3,1,5,3
"Умный человек, даже когда его посылают, делает вид, что идет по своим делам.",2.6,3,2,5,2,1
"Если бы на работу все ходили в купальниках, число занимающихся спортом возросло бы в сотни раз.",2.6,2,3,3,1,4
"Вдохновению нужен простор, поэтому чаще оно посещает тех, у кого не все дома",2.6,2,4,4,2,1
По уточненным данным ВМФ сомалийских пиратов высадили БЕЗ лодки и уже через пару минут по неизвестным причинам перестали получать о них данные.,2.6,1,1,3,4,4
"Объявление на входе в цирк: Вчера из нашего цирка сбежал шимпанзе по кличке Петя. Особые приметы: При встрече представляется человеком. Убедительная просьба, ему не верить, он примат.",2.6,4,1,4,2,2
"Живём на земле, а цены космические.",2.6,4,1,3,2,3
"В связи с тем, что концерт Аллы Борисовны Пугачевой пройдет на стадионе Лужники, матч Спартак - Зенит переносится в Концертный зал Россия.",2.6,3,1,3,3,3
"- Почему молчит Вселенная? - А где ты видел, чтобы нормальные ихтиологи с рыбами разговаривали?",2.6,4,1,4,3,1
Университет - еще пять лет детства.,2.6,3,3,5,1,1
"Я настолько люблю музыку, что измеряю расстояние до чего либо в песнях",2.6,1,1,3,4,4
"На фабрике по производству пельменей изготавливают два вида теста, одно обычное, а другое подкрашивают, это идет на начинку. (013) Нольвосьмидесятый.",2.6,4,1,3,3,2
"Итак, Новый год - время волшебства. Наши сограждане верят в христианского бога, живут по китайскому календарю и ставят елку по языческой традиции. Так давайте же выпьем за здоровье!",2.6,1,2,5,1,4
"Раньше если человек сидел и нихрена на работе не делал, то он протирал только штаны. А сейчас - еще и экран мобильного устройства!",2.6,3,3,2,4,1
"То, что жених слепой, гости поняли до того, как увидели жениха, увидев его невесту.",2.6,4,1,3,4,1
Моё лето состоит из 3х месяцев: 1. ЕГЭюнь. 2. Поступлюль. 3. Переездгуст,2.6,2,3,2,3,3
"Дед Мороз, пожалуйста, просто сдай за меня сессию и всё.",2.6,4,2,3,2,2
Олимпийскому комитету Южной Кореи в третий раз отказали в просьбе признать StarCraft олимпийским видом спорта.,2.6,4,2,4,2,1
"- Дедушка, ты такой же пунктуальный, как и в молодые годы. - Как часы, внучек, только теперь песочные.",2.6,1,4,2,1,5
"- Девушки, а никто из вас не задумывался, почему на кнопке пауза - две полоски?",2.6,3,2,2,1,5
"Ты молода, активна, энергична, полна идей и весела? Ну подожди пару лет, посмотрим.",2.6,1,4,1,3,4
"Всё-таки бабушки - странные существа! Пришла с тросточкой, ушла - без. Почти бегом вернулась, взяла тросточку и медленно, прихрамывая пошла прочь...",2.6,1,2,3,2,5
Хроника происшествий. Вчера на улице столкнулись грузовики с валокардином и презервативами. Перевозимый ими груз рассыпался по асфальту. Теперь в этом районе спокойно и безопасно.,2.6,1,3,4,2,3
В результате несчастного случая на производстве электрик 2 разряда обеспечил работой плотника 5 разряда.,2.6,1,4,1,3,4
Мальчик Петя не выдержал фразы «К доске выходит... к доске выходит» и умер от сердечного приступа.,2.6,1,3,4,2,3
Возьмите кредит в нашем банке до 31 декабря и получИте головную боль бесплатно!,2.6,3,3,1,3,3
"Раньше я в институте с третьей попытки сдавала экзамен по бухучёту, теперь на работе с третьей попытки сдаю в налоговую годовой отчёт...",2.6,2,3,4,3,1
"Когда твоя бывшая просит тебя остаться другом, это похоже на похитителей, которые, отпуская тебя, предлагают быть на связи.",2.6,1,3,4,3,2
"Учёные создали ЭВМ, работающую не на булевой логике, а на женской. Разговор в лаборатории: - Слушай, я не понимаю, почему эта машина даёт такие разные и необъяснимые результаты при одинаковых входных данных? - Ничего странного, она просто на тебя обиделась.",2.6,4,1,1,5,2
"Российская экономика практически не поддаётся измерениям, ибо у рубля нет дна, а у цен нет потолка.",2.6,4,4,2,1,2
"Однажды Настенька написала письмо Деду Морозу: Дорогой Морозко, я бы хотела получить на новый год сестричку. Дед Мороз и послал ответ: Настенька, внученька! Нет проблем. Пришли мне свою мать!",2.6,5,2,1,3,2
Быстрее всего в России проходит модернизация цен на продукты питания.,2.6,3,1,2,3,4
Радости в жизни бывают невинные и винные.,2.6,1,2,3,4,3
На новых подводных лодках один отсек выделен под православную церковь - для освящения ракет перед пуском. На старых для этого демонтируют компьютерный комплекс пуска и наведения.,2.6,1,3,3,1,5
Билл Гейтс бросил Microsoft и занялся производством автомобилей. Теперь на его автомобилях при нажатии на педаль тормоза на приборной панели будет высвечиваться сообщение: Вы действительно хотите затормозить?,2.6,1,4,2,3,3
"У меня кризис: мне скоро 25, а я до сих пор некоторые фразы начинаю со слов «когда вырасту, я...»",2.6,4,2,2,2,3
"Что посеешь, то и пожнёшь: Татьяна Буланова спилась под свои же песни.",2.4,3,1,3,4,1
"В городском общественном транспорте запретили показывать рекламу со звуком. Миллионы телезрителей ждут, что звук в рекламе запретят и на телевидении. Особенно надеются на введение трансляции рекламы без звука радиослушатели.",2.4,3,1,2,5,1
"Если пьешь кофе за компьютером, помни, любое твоё слово может быть последним...",2.4,1,4,1,3,3
"Термин чёрная дыра, как неполиткорректный, предлагается заменить на афроотверстие.",2.4,1,5,1,3,2
"""Кепчук"". Потому, что миллионы бабушек не могут ошибаться.",2.4,4,1,2,2,3
"Хуже просмотра фильма с человеком, который его уже видел - просмотр фильма с человеком, который читал книгу, по которой снят этот фильм.",2.4,2,3,3,1,3
Развитие интернета уже намного опередило развитие его пользователей.,2.4,2,3,3,3,1
"Бомжи, живущие около дома Перис Хилтон, как журналисты - всегда ждут, чего еще такого выкинет Перис?",2.4,2,1,5,1,3
"Вот и подошел к концу год в котором ты подкачался, начал правильно питаться, завел новые отношения, побывал заграницей, выучил новые языки, перестал заниматься херней, бросил курить и начал бегать по утрам. С наступающим!",2.4,4,1,3,1,3
"Отец говорит сыну-студенту: - Ну что ты целыми днями сидишь дома, жрёшь чипсы и играешь в танчики? - А что? - Всё это ты прекрасно сможешь делать на работе - а для этого УЧИТЬСЯ НАДО!",2.4,3,2,5,1,1
"Производители производят, рекламщики рекламируют, продавцы продают, а покупатели покупаются.",2.4,3,5,2,1,1
"Обсуждение темы нехватки мест в детских садах: - Мы встаём на очередь сразу же после рождения ребёнка... - Поздно, надо было в ночь зачатия!",2.4,2,5,1,2,2
"Русский человек всегда находит единственно верное решение - после того, как перепробует все остальные.",2.4,2,1,1,3,5
"Сынок! Мы все с понедельника начинаем новую жизнь! Я начну худеть, папа бросит курить...А ты? Ну не знаю... Я могу бросить универ.",2.4,1,2,3,3,3
"Я готов преодолеть любые преграды и лишения за мгновение рядом с тобой. P.S. Давай встретимся в четверг, если не будет дождя.",2.4,5,3,2,1,1
"То, что встреча с черной кошкой - плохая примета, недавно было научно доказано путем проведения серии опытов на лабораторных мышах.",2.4,2,2,5,1,2
"Мастер лакокрасочного цеха второй год думает, что работает с напарником.",2.4,3,2,3,2,2
"Из-за того, что сейчас в обиходе есть два термина глобальное потепление и глобальное похолодание, климатологам стало проще. В зависимости от ситуации они применяют то один термин, то другой.",2.4,3,4,1,3,1
"Я не очень ревнивый человек, но когда кот уходит спать к родителям, вот это меня действительно задевает.",2.4,1,3,1,3,4
"Смех - это маленький стресс, который действует как прививка от больших стрессов.",2.4,3,1,2,5,1
"- Как у тебя с иммунитетом? - Да похоже он меняет ориентацию... !?? - Начинает бороться не с чужаками, а с моим организмом.",2.4,4,2,3,2,1
"- Папа, а тётя Люся кем работает? - Она музыковед. - Нет, музыковед - это дядя. А она - музыковедьма.",2.4,3,2,1,3,3
"Во время инспекции олимпийских объектов – «…И не надо мне говорить, что «Сочи-2015» смотрится симпатичнее!…»",2.4,1,1,4,3,3
"В детстве я был настолько коварным, что притворялся спящим, чтобы родители носили меня на руках и укладывали в кровать.",2.4,2,1,5,3,1
Ищу друзей. Познаюсь в беде. Экспериментальные условия обеспечу.,2.4,2,1,3,5,1
"""Каждый день в России от накипи ломаются две стиральные машины. Таким образом, за год гибнет более миллиона стиральных машин..."" Вопрос на засыпку: сколько дней в году?",2.4,3,1,2,5,1
"Женщина, поймавшая золотую рыбку, попросила, чтобы у неё каждый год было по две норковые шубы. Рыбка подумала-подумала и превратила её в норку...",2.4,5,4,1,1,1
Человек с фамилией Следующий никогда не стоит в очереди.,2.4,1,4,3,1,3
"То неловкое чувство, когда утром едешь в автобусе на работу и вместо телефона достаешь из кармана пульт от телевизора.",2.4,1,1,1,4,5
"SMSка-поздравлялка: Ты у меня не сорокатрехлетняя женщина, ты у меня восемнадцатилетняя девушка с двадцатипятилетним стажем. С Днем Рождения, Любимая!",2.4,2,3,3,3,1
"- Странные результаты дает реформа школьного образования. - Почему? - Моя дочка уверена, что Бог есть. А зовут его - дедушка Ленин.",2.4,1,3,1,5,2
"Я родился в бедной семье, поэтому каждый новый год мама меня наряжала зайчиком. Колготки на голову одевала, короче.",2.4,4,2,3,2,1
"Не повторяйте моих ошибок, не учите родителей пользоваться Интернетом!",2.4,3,4,2,1,2
"- Одна девушка на работе хотела пожаловаться админу на вирусы. Печатает она вслепую, немного промахнулась... Админ согнулся от смеха, когда в середине дня ему прилетело: Втрусы атакуют!.",2.4,2,3,4,2,1
Теща моя Элеонора Федоровна подарила мне горные лыжи и всю экипировку... так изысканно от меня избавиться еще никто не хотел.,2.4,3,3,4,1,1
"- Папа, - спрашивает сын, - а правда, что настоящий мужчина должен оставаться спокойным в любой ситуации? - Правда, сынок. - Тогда тебе сначала показать мой школьный дневник или новое платье мамы?",2.4,3,4,2,1,2
"Игроки ЦСКА своими пасами ставили в тупик игроков Интера. Те никак не могли понять, как можно делать ТАКИЕ пасы.....",2.4,4,1,1,2,4
"Я вот тут думаю, что в любой организации гораздо эффективнее вместо инструктажа по технике безопасности заставлять смотреть все части Пункт назначения.",2.4,1,2,4,3,2
"- Сынок, если хочешь чего-то добиться в жизни, нужно работать! А теперь тише! Сейчас объявят лотерейные числа!",2.4,2,1,4,3,2
КАК ПРАВИЛЬHО ПОСАДИТЬ ГОСТЕЙ Hужно все внимательно слушать и записывать.,2.4,2,1,3,1,5
"Водитель Феррари обогнал Хаммер справа, но Хаммер тут же обогнал его сверху.",2.4,3,2,4,1,2
В понедельник лучше приходить на работу во вторник.,2.4,2,2,4,3,1
"Главное различие между котом и собакой: собака прячется, когда напакостит, кот же гордится содеянным.",2.4,2,3,2,2,3
"Студент - профессору: - Скажите, а я за этот семестр получу автомат? - Конечно, а также шинель и сапоги в придачу.",2.4,2,3,3,2,2
"Работа, работа, перейди на Федота, с Федота на Панкрата, а ко мне их зарплата!",2.4,3,1,4,1,3
"— У нас в гостях заслуженный морж страны. Расскажите, как вы впервые оказались в проруби? — Так же, как и все: решил сократить путь…",2.4,3,3,1,3,2
Лучший автономер для владельцев больших внедорожников - это: п000ох.,2.4,3,3,3,1,2
Люди значительно проигрывают кроликам в скорости размножения. Зато намного сильней любят капусту.,2.4,2,2,3,2,3
"Сын учителя литературы спрашивает у своей матери: - Мама, Пушкин - наше все? - К сожалению, да, сыночек. - Почему к сожалению, мама? - Потому, что все остальное: газ, нефть, металл, лес и земля давно не наше.",2.4,4,1,3,1,3
Бывшая прислала SMS-ку: Можешь удалить мой номер. Ответил ей: Кто это?.,2.4,3,2,3,2,2
"Другие дети в магазинах клянчат ""Купи мультфильм"", а моя правильная - бежит с диском и вопросом ""Папа, СКАЧАЕШЬ мне этот мультик?!""",2.4,2,3,3,2,2
"- Муж тоже мне помогает иногда, например, сегодня он сорвал листок календаря.",2.4,1,2,3,5,1
"Колбасу, которая стоит меньше 200 руб за кг можно есть в пост!",2.4,1,4,2,1,4
Чак Норрис выложил фейсбук в твиттер.,2.4,4,1,1,5,1
Мнение - хитрая штука: можно обменяться мнениями и при этом каждому остаться при своём.,2.4,1,1,3,5,2
"Те, кто не надеется на свою память, записывают пароль на желтом листочке и прикрепляют его на видном месте на монитор. Слабаки! Те, кто у кого в планах действительно достойно провести выходные, записывают на этот листочек свои фамилию, имя, должность, а так же название и род деятельности родной фирмы.",2.4,3,4,1,1,3
"Если вас посылают на все четыре стороны, идите на юг, там теплее.",2.4,3,2,2,2,3
"Если смотреть матч Спартак-Барселона в обратной перемотке, то можно увидеть как Спартак отыгрывается.",2.4,3,1,1,5,2
"Есть люди, которые несут тьму, мрак и хаос. Есть люди, которые несут справедливость и покой. И есть я. Я несу пакетик.",2.4,1,1,2,4,4
"Российская земля богата кладами ума и талантов, зарытыми на каждом шагу.",2.4,3,3,1,1,4
"Разговаривают родители учеников: - Мой Боренька на “ты” с математикой, химией и физикой, поэтому у него всегда отличные оценки по этим предметам. - У моего Вовочки тоже отличные оценки по этим предметам, потому, что он на “ты” с математичкой, химичкой, физичкой и директором школы.",2.4,1,2,3,4,2
"К истории о падении в Иране беспилотника США и просьбе американцев его вернуть: В Иране упала американская атомная бомба и не взорвалась из-за дефектов. В США сказали, что обронили ее случайно и попросили вернуть. В Иране ответили, что обязательно вернут, вот только починят и обязательно вернут.",2.4,1,1,4,2,4
"Новость: Ретейлеры и поставщики продуктов питания могут получить взыскание ФАС за публичные объявления о повышении цен. Теперь цены будут повышать молча, быстро, на всё и помногу.",2.4,3,2,1,1,5
"Бывают дни, когда ты - голубь, а бывают дни, когда ты - Пушкин.",2.4,1,1,1,5,4
Новости шоу-бизнеса. Гарик Харламов по кличке Бульдог был покусан бульдогом по кличке Гарик.,2.4,1,3,2,4,2
"Интересно: занесена ли Книга рекордов Гиннеса в Книгу рекордов Гиннеса, как книга с наибольшим количеством рекордов Гиннеса?",2.4,2,2,2,4,2
"Если дама оступилась или поскользнулась, джентльмен поддерживает её. Например, аплодисментами.",2.4,1,3,3,2,3
Если вам во мне что-то не нравится — необязательно ставить меня об этом в известность. Постарайтесь пережить этот шок самостоятельно!,2.4,1,4,4,2,1
Так и хочется когда-нибудь встретить фразу: Требование правообладателя удалено в связи с требованиями пользователей!,2.4,2,2,5,1,2
"Кто весь день работает, тому некогда зарабатывать деньги.",2.4,1,3,2,2,4
"Прошлой ночью я впал в депрессию и позвонил по номеру ""телефон доверия"". Мой звонок перенаправили в Пакистан. Я сказал, что собираюсь покончить с собой. Они страшно обрадовались и спросили, умею ли я водить грузовики..",2.4,5,1,2,1,3
"Мне 24 года, но я уже спас очень много человеческих жизней хотя бы тем, что не пошёл учиться в медицинский университет.",2.4,2,1,1,4,4
"Дети, кто двигается быстрее: почтовый голубь или лошадь? Если пешком, то лошадь.",2.4,1,1,3,4,3
"Я знаю, что все новое - это хорошо забытое старое, но не до такой же степени!.. Сегодня коммивояжер предлагал суперновинку - керамический нож...",2.4,1,1,5,3,2
"Если, выходя из дома, берешь с собою зонт, вероятность дождя снижается до 2%.",2.4,1,4,3,3,1
57 минут без тебя мне кажутся часом.,2.4,1,2,4,2,3
"Чтобы избавиться от надоедливой прослушки, осторожный Штирлиц целые дни напролет крутил песни Сердючки. Он понимал, что даже гестапо этого долго не выдержать.",2.4,5,1,2,2,2
"Последнее, что узнала муха в своей жизни: «Продаётся дача, 6 соток, торг уместен».",2.4,2,4,2,3,1
"Казалось, что нашел свою вторую половинку, оказалось, что три четверти...",2.4,1,4,5,1,1
В связи с наметившимся оттоком милиардеров средняя зарплата Москвичей снизилась до 91 тыс рублей.,2.4,3,3,3,2,1
Наша фирма предлагает металлические сейфы новой формы. Они выполнены в виде шара и смазаны снаружи маслом. Предназначены для плохо охраняемых офисов и складов. В комплект входит скрытая камера - пусть потом люди в Ютубе посмеются...,2.4,2,3,3,2,2
"Многие считают, что ФСБ читает всё про всех в интернете. На самом деле, ФСБ в первую очередь интересуют люди, незарегистрированные в социальных сетях!",2.4,5,4,1,1,1
"В магазине ""Все для счастливчиков"" тебе ничего не пригодится.",2.4,3,1,1,2,5
"У меня такой почерк, что буквы ""к"",""п"" и ""н"" - одна и та же буква.",2.4,2,1,4,3,2
"Это фантастика, - подумал Серый Волк, намазывая сыр на Красную Шапочку.",2.4,5,1,4,1,1
... А в сегодняшней нашей передаче мы затронем такие извечные темы как эксплуатация детских рук при вылавливании огурцов из банки.,2.4,2,3,1,2,4
"В школе у меня были уроки ОБЖ, но я ходил на них через раз. Поэтому при пожаре я могу построить плот.",2.4,2,5,3,1,1
"Врач - пациенту: - Вы выполнили мои указания? - Да, ваш племянник уже назначен финансовым директором нашей фирмы.",2.4,3,3,3,1,2
"Наташа никогда бы не закончила Суворовское училище, если бы у нее не было рвения, упорства и усов.",2.4,2,2,2,2,4
"Название молока «Веселая молочница», наводит покупательниц на грустные мысли…",2.4,2,2,4,3,1
"Каждый честный, искренний человек, ставя смайлик, дожен улыбаться!",2.4,2,1,3,1,5
"Что такое терзающие противоречия? Это когда тёща выиграла в лотерею 100 миллионов, и один решила подарить вам...",2.4,1,4,1,2,4
"Под покровом темноты нескончаемая колонна техники входила в город. По обочинам дороги дымились подбитые машины... Думаете, это отрывок из книги о Великой Отечественной войне ? Это начало обычного питерского рабочего дня.",2.4,1,4,2,1,4
"Мои дети все унаследовали от матери, от меня - только деньги.",2.4,1,2,5,3,1
"Приближение старости – это когда пополняешь запас презервативов, не из-за его исчерпания, а из-за окончания сроков годности.",2.2,1,2,5,2,1
Прогресс в учебе - это когда ты начинаешь замечать ошибки своего учителя.,2.2,2,2,3,3,1
"Сын спрашивает отца: - Папа, а может ли причина быть после следствия? - Конечно, может! Вот ты, например, родился аж через два месяца после того, как мы с твоей мамой поженились.",2.2,2,2,4,1,2
"Разговаривают два парня: - Я тут на днях встретился с девушкой, с которой целый месяц переписывался по интернету. - И как? - Я недооценил ее способность работы в фотошопе.",2.2,4,1,4,1,1
Секрет успеха в жизни связан с честностью и порядочностью. Если у Вас нет этих качеств - успех гарантирован!,2.2,1,5,1,1,3
"Мне 23, и я с усами и со щётиной, с бородой и с волосатыми руками но не легко мне быть такой",2.2,4,1,3,2,1
"Экзамен по экономике. Блондинка рассказывает про Адама Смита, но не разу не называет его по имени. Преподаватель:- А как зовут Смита? Блондинка: - Не помню... Преподаватель:- Ну подумайте, как звали первого мужчину? Блондинка (смущенно): - Сережа.",2.2,3,2,1,3,2
"Отучил жену покупать книжки типа красота и здоровье, идеальная фигура за 2 недели - просто показав фото их авторов.",2.2,2,4,1,3,1
"Уважаемые дамы! Когда вам исполнится 30, обязательно сделайте в приличном фотосалоне 4 штуки фотографии 3 на 4, чтобы потом... в 45... при обмене паспорта...",2.2,2,1,2,4,2
- Почему ты не работаешь? - спрашивает каменщик у помощника. - Да после вчерашнего руки трясутся. - Тогда песок просеивай!,2.2,2,2,1,3,3
"""Мы не можем брать на работу человека с таким плейлистом вконтакте"".",2.2,2,2,1,3,3
"Меня интересует только спать, его стоимость и где приобрести.",2.2,2,5,1,1,2
"Коэффициент полезного шопинга (КПШ) - отношение суммы, потраченной на планируемые покупки, к общей сумме покупок.",2.2,1,1,5,1,3
Охранник мебельного салона ни разу не спал на одном месте дважды.,2.2,1,1,4,3,2
Ученик слесаря навсегда расстаётся с детством после первой фразы слесаря...,2.2,3,2,1,1,4
"Это не дороги у нас не очень ровные, это колёса у вас не очень круглые.",2.2,1,4,2,2,2
"- Мой сын мечтает о космосе, хочет работать в невесомости. - Мой сосед тоже мечтает работать в невесомости. - Он ребенок? - Он грузчик.",2.2,2,1,4,1,3
"Пришла в голову мысль. Побежал записывать. Пока бежал, возникла вторая, но забыл первую. Вспоминая первую, забыл и вторую.",2.2,1,1,5,1,3
"Раньше я рассказывал людям о своих проблемах. Потом решил, что не стоит поднимать им настроение таким способом.",2.2,2,1,2,1,5
"Далекое будущее: - Многие знают историю о летучем голландце, но не все знают историю о летучем грузине - А о ком это? - Жил был Михаил Саакашвили...",2.2,2,1,5,1,2
"- Я вчера сказал нашему директору прямо в глаза, что я о нем думаю. - Ну и что? - Какой он талантливый, мудрый, справедливый руководитель.",2.2,5,1,1,2,2
Пять минут смотрел как мимо жизнь проходит.,2.2,1,3,1,2,4
"""Мне не нравится как ты ответил на мой вопрос поэтому спрошу еще 15 раз, вдруг ты ответишь как мне хочется"" – женщины.",2.2,2,1,4,1,3
"Махачкалинский парк культуры и отдыха разделили на три разных части: на парк, культуру и отдых.",2.2,2,1,1,2,5
"Эдинбург. Здесь прошла демонстрация против бедности. Демонстранты громили бедные лавки, выволакивали бедняков на улицы и набивали им карманы деньгами.",2.2,3,2,3,2,1
"Суд постановил убрать свидетеля, посадить потерпевшего, а краденое имущество разделить между преступником, соучастниками и юристами.",2.2,1,2,3,2,3
"Ты какой факультет «кончил»? – «Дизайн цветов». - И какая у тебя специальность? – «флорист – дизайнер». - Чем же ты занимаешься? – В основном, дефлорацией – и такой дизайн получается!",2.2,1,2,4,1,3
"Приходит мама за ребёнком в сад. Смотрит, дети в песочнице сидят с телефонами, а воспитательница на скамейке спит. - Что ж вы спите? У вас же все дети разбегутся... - Да куда они денутся, у нас Wi-Fi только в пределах песочницы.",2.2,1,5,1,1,3
"Каждый раз, когда будешь думать, что у тебя есть вкус, вспомни своего бывшего.",2.2,3,5,1,1,1
"Сегодня прощенное воскресенье. Простите все люди, с которыми я не пообщался и тем самым лишил вас лучей своей охренительности.",2.2,1,4,1,2,3
- У меня за плечами Гарвард. - А у меня - Оксфорд. - А у меня – памятник Ленину: это я с моей Люськой сфотографировался.,2.2,4,4,1,1,1
"В резюме вы указали, что врете в резюме, это правда? Нет.",2.2,2,2,4,2,1
"Каждый подумал в меру своей распущенности, но все подумали об одном и том же.",2.2,3,3,3,1,1
"Когда слышу как соседи орут на ребёнка за стеной, думаю ну неужели нельзя было почитать отзывы на детей, посмотреть обзоры, прежде чем рожать",2.2,2,1,1,2,5
"Гордиться нам нечем, зато похвастаться — сколько хочешь!",2.2,1,1,5,2,2
"Третья жена попалась настолько ревнивая... Мне постоянно приходится доказывать, что с первой и второй у меня ничего не было.",2.2,1,5,3,1,1
"Наконец-то после двухлетнего табу на показ по ТВ зрители насладились Иронией судьбы - продолжением. И по их многочисленным просьбам запрет продлён ещё на пять лет, причём как новой, так и старой версий.",2.2,1,2,1,2,5
"Не то чтобы я жалуюсь на жизнь, но если бы капитан пиратского корабля предложил мне бросить всё и отправиться грабить торговые суда, я бы согласился не раздумывая.",2.2,2,2,2,1,4
"ГИБДД информирует, что сегодня День Водителя и те, кто отметит его за рулем, следующие 2-3 года будут отмечать День Пешехода.",2.2,4,1,2,3,1
Есть 3 вида настроения: 1.Пропускаю каждую песню в плейлисте. 2.Даю музыке играть без перерыва. 3.Слушаю одну и ту же песню целый день.,2.2,1,1,5,1,3
"Самый страшный вид лени - это когда тебе нужна книга по мотивации, чтобы встать с дивана.",2.2,4,1,2,1,3
Сложноподчинённое предложение руки и сердца.,2.2,2,4,3,1,1
"Если исключения действуют как правила, значит, правила исключительно неправильные.",2.2,1,3,1,4,2
